position,person,personID,start,end
Prime Minister,Merab Chigoev,Q3072481,1998-08,2001-06
Prime Minister,Dmitry Sanakoyev,Q1232523,2001-06-14,2001-12
Prime Minister,Gerasim Khugayev,Q4502062,2001-12-19,2003-08-31
Prime Minister,Zurab Kokoyev,Q3576296,2005-05,2005-07-05
Prime Minister,Yury Morozov,Q1351123,2005-07-04,2008-08-18
Prime Minister,Boris Chochiev,Q659494,2008-08-18,2008-10-22
Prime Minister,Aslanbek Bulatsev,Q724218,2008-10-22,2009-08-04
Prime Minister,Vadim Brovtsev,Q162646,2009-08-05,2012-04-26
Prime Minister,Rostislav Khugayev,Q2617454,2012-05-15,2014-01-20
Prime Minister,Domenty Kulumbegov,Q15727801,2014-01-20,2017-05-16
Prime Minister,Erik Pukhayev,Q44531929,2017-05-16,2020-08-29
Prime Minister,Gennady Bekoyev,Q105674235,2020-08-29,
President,Lyudvig Chibirov,Q558773,1996-11-27,2001-12-18
President,Eduard Kokoity,Q151810,2001-12-18,2011-12-10
President,Vadim Brovtsev,Q162646,2011-12-11,2012-04-19
President,Leonid Tibilov,Q2085634,2012-04-19,2017-04-19
President,Anatoly Bibilov,Q3545676,2017-04-21,2022-05-24
President,Alan Gagloyev,Q29319183,2022-05-24,
Minister of Foreign Affairs,Dmitry Medoyev,Q4287911,2017,
